cluster,best_cat_idx,best_cat_cid,best_cat_name,best_sim,margin,runner_up_idx,runner_up_cid,runner_up_name
0,16,equity_actions_non_buyback,Equity actions (non-buyback),0.8236790895462036,0.009259343147277832,19,admission_delisting,Delisting / Trading halt
1,10,orders_contracts,Orders / Contracts,0.8430595397949219,0.007262766361236572,16,equity_actions_non_buyback,Equity actions (non-buyback)
2,0,earnings_report,Earnings report,0.8560159802436829,0.004409730434417725,8,guidance_outlook,Guidance / Outlook
3,16,equity_actions_non_buyback,Equity actions (non-buyback),0.8456945419311523,0.0006234645843505859,14,legal_regulatory_compliance,Legal / Regulatory / Compliance
4,7,debt_bond_issue,Debt / Bond issue,0.8308894634246826,0.01748824119567871,19,admission_delisting,Delisting / Trading halt
5,16,equity_actions_non_buyback,Equity actions (non-buyback),0.8505649566650391,0.0036433935165405273,10,orders_contracts,Orders / Contracts
6,1,share_buyback,Share buyback,0.883152425289154,0.02165055274963379,16,equity_actions_non_buyback,Equity actions (non-buyback)
7,0,earnings_report,Earnings report,0.8492010831832886,0.003168463706970215,16,equity_actions_non_buyback,Equity actions (non-buyback)
8,16,equity_actions_non_buyback,Equity actions (non-buyback),0.7987873554229736,0.00613558292388916,19,admission_delisting,Delisting / Trading halt
9,14,legal_regulatory_compliance,Legal / Regulatory / Compliance,0.852623701095581,0.0035570263862609863,19,admission_delisting,Delisting / Trading halt
10,8,guidance_outlook,Guidance / Outlook,0.811176061630249,0.001439213752746582,19,admission_delisting,Delisting / Trading halt
11,1,share_buyback,Share buyback,0.8207881450653076,0.002485811710357666,16,equity_actions_non_buyback,Equity actions (non-buyback)
12,16,equity_actions_non_buyback,Equity actions (non-buyback),0.8624595999717712,0.005863606929779053,1,share_buyback,Share buyback
13,14,legal_regulatory_compliance,Legal / Regulatory / Compliance,0.8349807262420654,0.0012955665588378906,19,admission_delisting,Delisting / Trading halt
14,16,equity_actions_non_buyback,Equity actions (non-buyback),0.7781659364700317,0.0008582472801208496,13,sustainability_esg,Sustainability / ESG
15,1,share_buyback,Share buyback,0.8283990025520325,0.008351147174835205,16,equity_actions_non_buyback,Equity actions (non-buyback)
16,16,equity_actions_non_buyback,Equity actions (non-buyback),0.8639168739318848,0.0058896541595458984,19,admission_delisting,Delisting / Trading halt
17,16,equity_actions_non_buyback,Equity actions (non-buyback),0.8243411779403687,0.009225964546203613,19,admission_delisting,Delisting / Trading halt
18,1,share_buyback,Share buyback,0.8369960188865662,0.005869626998901367,16,equity_actions_non_buyback,Equity actions (non-buyback)
19,16,equity_actions_non_buyback,Equity actions (non-buyback),0.8302704691886902,0.00306624174118042,19,admission_delisting,Delisting / Trading halt
20,16,equity_actions_non_buyback,Equity actions (non-buyback),0.8113886713981628,0.004994392395019531,8,guidance_outlook,Guidance / Outlook
21,16,equity_actions_non_buyback,Equity actions (non-buyback),0.8246303796768188,0.00038313865661621094,19,admission_delisting,Delisting / Trading halt
22,18,incidents_controversies,Incidents / Controversies,0.8068042993545532,0.001656651496887207,19,admission_delisting,Delisting / Trading halt
23,16,equity_actions_non_buyback,Equity actions (non-buyback),0.8075101971626282,0.0036692023277282715,6,admission_listing,Admission / Listing
24,2,dividend,Dividend,0.8119178414344788,0.0022211670875549316,10,orders_contracts,Orders / Contracts
25,19,admission_delisting,Delisting / Trading halt,0.8503155708312988,0.0005300045013427734,14,legal_regulatory_compliance,Legal / Regulatory / Compliance
26,16,equity_actions_non_buyback,Equity actions (non-buyback),0.8441722989082336,0.00596165657043457,14,legal_regulatory_compliance,Legal / Regulatory / Compliance
27,16,equity_actions_non_buyback,Equity actions (non-buyback),0.811227560043335,0.002149820327758789,5,pdmr_managers_transactions,Managers' transactions (PDMR)
28,16,equity_actions_non_buyback,Equity actions (non-buyback),0.8485007882118225,0.005396783351898193,12,personnel_management_change,Personnel / Management change
29,4,capital_raise_rights_issue,Capital raise / Rights issue,0.8228291869163513,0.002906978130340576,16,equity_actions_non_buyback,Equity actions (non-buyback)
30,16,equity_actions_non_buyback,Equity actions (non-buyback),0.814300537109375,0.0024572014808654785,19,admission_delisting,Delisting / Trading halt
31,16,equity_actions_non_buyback,Equity actions (non-buyback),0.8228754997253418,0.0023926496505737305,2,dividend,Dividend
32,7,debt_bond_issue,Debt / Bond issue,0.8336144089698792,0.003976166248321533,2,dividend,Dividend
33,16,equity_actions_non_buyback,Equity actions (non-buyback),0.8061690330505371,0.0040847063064575195,19,admission_delisting,Delisting / Trading halt
34,0,earnings_report,Earnings report,0.813538670539856,0.006292819976806641,2,dividend,Dividend
35,1,share_buyback,Share buyback,0.8079872131347656,0.00041031837463378906,16,equity_actions_non_buyback,Equity actions (non-buyback)
36,0,earnings_report,Earnings report,0.8099327087402344,0.0013805031776428223,8,guidance_outlook,Guidance / Outlook
37,13,sustainability_esg,Sustainability / ESG,0.8144028186798096,0.006037712097167969,20,other_corporate_update,Other / Corporate update
38,16,equity_actions_non_buyback,Equity actions (non-buyback),0.808064341545105,0.0038313865661621094,1,share_buyback,Share buyback
39,1,share_buyback,Share buyback,0.8360545635223389,0.0018140673637390137,16,equity_actions_non_buyback,Equity actions (non-buyback)
