cluster,size,sil_mean,centroid_mean_cos
0,126,0.132869154214859,0.9379096031188965
1,105,-0.08421503752470016,0.9169161319732666
2,107,-0.06816159188747406,0.9207642674446106
3,130,-0.08523011952638626,0.9262101650238037
4,21,0.46243831515312195,0.9707716107368469
5,123,-0.04453502967953682,0.9235486388206482
6,75,0.24243853986263275,0.9522797465324402
7,275,0.19675087928771973,0.9477510452270508
8,55,0.8383945822715759,0.9904501438140869
9,53,0.1560366451740265,0.9404273629188538
10,49,0.4812146723270416,0.9713042974472046
11,51,0.22304323315620422,0.9458274841308594
12,207,-0.03809719905257225,0.9324555993080139
13,44,0.3018369674682617,0.9589133858680725
14,10,0.6982242465019226,0.9811360239982605
15,50,0.37537017464637756,0.9614280462265015
16,81,-0.019913459196686745,0.9283227920532227
17,66,0.5192450881004333,0.9718582630157471
18,31,0.21541017293930054,0.9458871483802795
19,48,0.03248516097664833,0.9365401864051819
20,10,0.19560357928276062,0.9485055804252625
21,202,-0.06643019616603851,0.92795330286026
22,12,0.48133766651153564,0.9627923369407654
23,10,0.536139190196991,0.9677921533584595
24,6,0.6383793354034424,0.9789113402366638
25,95,0.04423806443810463,0.9432343244552612
26,68,0.0449967160820961,0.9355526566505432
27,11,0.47197580337524414,0.9673923850059509
28,93,-0.06738276034593582,0.9187055826187134
29,59,0.2900353670120239,0.946002185344696
30,18,0.06299810111522675,0.9360929131507874
31,178,0.15244527161121368,0.9444028735160828
32,34,0.24551890790462494,0.9479984045028687
33,10,0.24057221412658691,0.9490240812301636
34,27,0.14350053668022156,0.9462899565696716
35,22,0.5060503482818604,0.9681196808815002
36,37,0.25498658418655396,0.9524664878845215
37,13,0.3445490598678589,0.9548482894897461
38,12,0.37439313530921936,0.9551208019256592
39,19,0.3667309284210205,0.960578203201294
