cluster,size,topic_hint,sample_titles_representative,proposed_label,confidence,notes
19,138,"group, new, has, our, company, management, that, its, issue, rights, ceo, business","New CEO appointed for Alcadon Norway | Ework Group expands into Germany and strengthens European presence | Sparc Group Welcomes LK Gräv | Refine Group's subsidiary Lybe becomes a Shopify Plus Partner - first in Sweden with a dedicated B2B team | New Wave Group completes acquisition of Cotton Classics Handels GmbH | Lars Neret resigns as CFO of Karnell Group | VP GEOTECHNICAL, VILLE POHJA TO PURSUE NEW OPPORTUNITIES | Lagercrantz acquires Aktiebolaget Qvintus","M&A/Divestment",2,"Some leadership-change items mixed in"
37,87,"enso, stora enso, stora, enso oyj, oyj, rights, voting, voting rights, chapter section, chapter, osakkeista, shares","Oncopeptides carries out rights issue... | Qlucore secures guarantee commitments... | Ørsted confirms commitment to proceed with the planned rights issue... | Mentice receives approximately SEK 31.95 million... | Realfiction announces outcome in rights issue | Arctic Blue Beverages' fully secured rights issue... | Arctic Blue Beverages announces outcome in rights issue | Xspray resolves on a rights issue...","Rights issue announcement",3,"Clear rights issue theme"
18,82,"warrants, turbo warrants, turbo, issued nordea, bank abp, nasdaq, abp, warrants issued, nordea bank, listing turbo, nordea, issued","LISTING OF TURBO WARRANTS ISSUED BY NORDEA BANK ABP | ... (multiple similar)","Admission to trading (Derivative)",3,"Turbo/derivative listings"
34,80,"corporation, alma, share repurchase, alma media, share, repurchase, ...","Kojamo plc: Share repurchase 22.8.2025 | Íslandsbanki hf.: Transactions... | Buybacks of shares... | Raute cancels own shares... | IPC Announces Results of NCIB | ...","Share buyback transactions",3,"Weekly/daily buybacks"
16,75,"certified adviser, adviser, certified, change certified, ...","... Change of Certified Adviser ... (multiple)","Certified Adviser change",3,"Primarily CA changes"
13,74,"risma, persons, transactions, persons discharging, managerial responsibilities, ...","Nitro Games Oyj: Managers' Transactions | ... (multiple)","Managers’ transactions",3,"MAR/PDMR notices"
23,73,"group, new, has, our, company, management, ...","Instalco wins assignment ... | NCC to expand ... | Zoning Plan Approved ... | ... YIT to build ...","Order/Contract award",3,"Project/assignment awards"
15,63,"extra, fran, augusti, bolagsstamma, ...","Precio Fishbone öppnar kontor ... | ... | ...","Other corporate news",2,"General corp updates; no clear finance action"
22,56,"report, year, half, june, financial, ...","Nepa Interim report Q2 2025 | ... (multiple)","Interim/Annual report",3,"Interim/H1 reports"
17,56,"osakkeiden, omien, omien osakkeiden, ...","Muutos Valmet Oyj:n omien osakkeiden määrässä | Kojamo Oyj: Omien osakkeiden hankinta ... | ...","Share buyback transactions",3,"Finnish buyback notices"
9,50,"report, year, half, june, financial, ...","HONKARAKENNE OYJ HALF-YEAR REPORT ... | ...","Interim/Annual report",3,"Half-year reports"
21,49,"extra, fran, bolagsstamma, ...","Avstämningsdag ... | Kommuniké från extra bolagsstämma ... (multiple)","EGM communiqué",3,"EGM bulletins"
12,48,"sek, million, interim report, quarter, ...","Starbreeze Interim Report ... | ...","Interim/Annual report",3,"Interim/Q reports"
5,48,"presentation, report, webcast, invitation, ...","Invitation to presentation of ... (multiple)","IR presentation/Webcast",3,"Earnings presentation/webcast invites"
29,47,"meeting, general, extraordinary, annual, notice, ...","Annual General Meeting ... | NOTICE OF ANNUAL GENERAL MEETING ... | ...","AGM notice",3,"AGM/GM notices"
28,45,"sek, interim, quarter, ...","AVTECH Interim Report ... | ...","Interim/Annual report",3,"Interim reports"
27,45,"uppgick, msek, delårsrapport, ...","Delårsrapport januari–juni ... (multiple)","Interim/Annual report",3,"Swedish interim reports"
10,45,"international plc, morgan stanley, warrants, turbo, ...","LISTING OF TURBO WARRANTS ... (multiple)","Admission to trading (Derivative)",3,"Derivative listings"
14,44,"phase, study, approval, fda, ...","Dicot Pharma's Phase 2a ... | ... FDA 510(k) clearance ... | ...","Clinical/Regulatory update",3,"Clinical milestones/approvals"
33,43,"puolivuosikatsaus, oyj, ...","Puolivuosikatsaus ... (multiple)","Interim/Annual report",3,"Finnish half-year reports"
2,42,"programme, buy back, share buy, ...","Matas share buy-back programme ... | ...","Share buyback transactions",3,"Programme transactions/updates"
25,41,"uppgick, msek, delårsrapport, ...","Idun delårsrapport ... | ...","Interim/Annual report",3,"Swedish half-year/quarterly reports"
20,40,"halvårsrapport, investeringsforeningen, ...","Halvårsrapport 2025 | ...","NAV/AUM report",2,"Fund half-year reports dominate"
8,37,"utser, lämnar, styrelsen, vd, ...","Charlotta Dehn utses till tf VD ... | ...","Leadership change",3,"CEO/board changes"
0,36,"delårsrapport, kvartal, ...","XMReality delårsrapport ... | ...","Interim/Annual report",3,"Quarterly/H1 reports"
1,34,"half-year report, interim, ...","Half-Year Report H1 2025 ... | ...","Interim/Annual report",3,"Half-year/interim reports"
30,34,"útgáfuáætlun, víxlaútboð, skuldabréf, ...","Síminn hf. ... | Reykjavíkurborg ... | ...","Other corporate news",2,"Mixed Icelandic financing/issuance news"
36,31,"aktier, halvårsrapport, ...","Delårsrapport ... | Halvårsrapport ... (multiple)","Interim/Annual report",3,"Half-year reports"
7,26,"you, confirm, subscription, opt-in, ...","Opt-In | Opt-In | ...","Noise/System",3,"Subscription/opt-in emails"
3,25,"inbjudan, presentation, webbsänd, ...","Inbjudan till presentation ... (multiple)","IR presentation/Webcast",3,"Presentation/webcast invitations"
32,25,"återköp av egna aktier, ...","Nordea Bank Abp: Repurchase of own shares ... (multiple)","Share buyback transactions",3,"Daily buyback trades"
6,25,"mini futures, listing, ...","LISTING OF MINI FUTURES ... (multiple)","Admission to trading (Derivative)",3,"Mini futures listings"
4,19,"suspension of trading, observationsstatus, ...","Circle Energy ... Suspension of Trading ... | ...","Market notice",3,"Exchange/issuer market notices"
26,16,"bond, admitted to trading, ...","Bond loan(s) ... will be admitted to trading ... (multiple)","Admission to trading (Bond)",3,"Bond admissions"
31,15,"google account, security alert, ...","Check your Google Account privacy settings | ...","Noise/System",3,"Account/security alerts"
35,14,"share buyback program, executed, ...","Better Collective - Share buyback program (multiple)","Share buyback transactions",3,"Buyback program execution"
11,9,"CK92, CK93, CK95, prepayments, drawings, ...","Nykredit/Totalkredit CK92/CK93/CK95 ... (multiple)","Monthly KPIs/Statistics",3,"Mortgage/bond statistics"
24,7,"verify your request, alert service, ...","Verify your request for ... Corporate Alert Service (multiple)","Noise/System",3,"Corporate alert-service verifications"
